store,category,product,date,units_sold,revenue,avg_stock,avg_price,lag_1w,lag_2w,lag_3w,lag_4w,roll_mean_2w,roll_mean_4w,roll_mean_8w,month,quarter,week_of_year,year,is_holiday_season,store_code,category_code,product_code
Store_A,Sports,Cricket_Bat,2021-01-31,71,300624.7,171.42857142857142,4195.79,74.0,74.0,71.0,30.0,74.0,62.25,62.25,1,1,4,2021,1,0,3,0
Store_A,Sports,Cricket_Bat,2021-02-07,54,226974.93,107.42857142857143,4195.79,71.0,74.0,74.0,71.0,72.5,72.5,64.0,2,1,5,2021,0,0,3,0
Store_A,Sports,Cricket_Bat,2021-02-14,47,195785.47,219.0,4195.79,54.0,71.0,74.0,74.0,62.5,68.25,62.333333333333336,2,1,6,2021,0,0,3,0
Store_A,Sports,Cricket_Bat,2021-02-21,47,198926.8,200.85714285714286,4195.79,47.0,54.0,71.0,74.0,50.5,61.5,60.142857142857146,2,1,7,2021,0,0,3,0
Store_A,Sports,Cricket_Bat,2021-02-28,48,203912.09999999998,151.28571428571428,4195.79,47.0,47.0,54.0,71.0,47.0,54.75,58.5,2,1,8,2021,0,0,3,0
Store_A,Sports,Cricket_Bat,2021-03-07,50,208967.15,103.28571428571429,4195.79,48.0,47.0,47.0,54.0,47.5,49.0,60.75,3,1,9,2021,0,0,3,0
Store_A,Sports,Cricket_Bat,2021-03-14,44,181056.44,312.0,4195.79,50.0,48.0,47.0,47.0,49.0,48.0,58.125,3,1,10,2021,0,0,3,0
Store_A,Sports,Cricket_Bat,2021-03-21,54,225297.59,305.42857142857144,4195.79,44.0,50.0,48.0,47.0,47.0,47.25,54.375,3,1,11,2021,0,0,3,0
Store_A,Sports,Cricket_Bat,2021-03-28,47,201080.8,253.85714285714286,4195.79,54.0,44.0,50.0,48.0,49.0,49.0,51.875,3,1,12,2021,0,0,3,0
Store_A,Sports,Cricket_Bat,2021-04-04,45,190983.72,207.28571428571428,4195.79,47.0,54.0,44.0,50.0,50.5,48.75,48.875,4,2,13,2021,0,0,3,0
Store_A,Sports,Cricket_Bat,2021-04-11,53,226444.04,159.57142857142858,4195.79,45.0,47.0,54.0,44.0,46.0,47.5,47.75,4,2,14,2021,0,0,3,0
Store_A,Sports,Cricket_Bat,2021-04-18,48,202834.22999999998,110.28571428571429,4195.79,53.0,45.0,47.0,54.0,49.0,49.75,48.5,4,2,15,2021,0,0,3,0
Store_A,Sports,Cricket_Bat,2021-04-25,51,215446.64,225.42857142857142,4195.79,48.0,53.0,45.0,47.0,50.5,48.25,48.625,4,2,16,2021,0,0,3,0
Store_A,Sports,Cricket_Bat,2021-05-02,44,186053.14,246.0,4195.79,51.0,48.0,53.0,45.0,49.5,49.25,49.0,5,2,17,2021,0,0,3,0
Store_A,Sports,Cricket_Bat,2021-05-09,49,206031.28,198.57142857142858,4195.79,44.0,51.0,48.0,53.0,47.5,49.0,48.25,5,2,18,2021,0,0,3,0
Store_A,Sports,Cricket_Bat,2021-05-16,47,196106.91999999998,149.14285714285714,4195.79,49.0,44.0,51.0,48.0,46.5,48.0,48.875,5,2,19,2021,0,0,3,0
Store_A,Sports,Cricket_Bat,2021-05-23,46,195783.94,102.42857142857143,4195.79,47.0,49.0,44.0,51.0,48.0,47.75,48.0,5,2,20,2021,0,0,3,0
Store_A,Sports,Cricket_Bat,2021-05-30,46,194889.59,313.85714285714283,4195.79,46.0,47.0,49.0,44.0,46.5,46.5,47.875,5,2,21,2021,0,0,3,0
Store_A,Sports,Cricket_Bat,2021-06-06,47,195854.12,308.42857142857144,4195.79,46.0,46.0,47.0,49.0,46.0,47.0,48.0,6,2,22,2021,0,0,3,0
